lemma	reconstructed_semitic_forms
batza	
baugilus	
baza	
becar	
beccut	bgᶜt
belbaraci	
beli	
bellen	
belo	
belum	
belus	bᶜl
berebgal	
berec	
berecbal	
berecbal	
berechi	
berecht	
bereci	
berect	
berecte	
berecth	
berecthe	
berectina	
beregbal	
beregbalis	
beregis	
bereh	
beret	
berethina	
beric	
berict	
berihbal	
berregt	
besan	BšN
bezina	
bibai	
bibba	bbᶜ
bibi	
biccar	
bicchari	
biceci	
bicis	
bidbal	bdbᶜl
bilibgal	
billarus	
bira	
birae	
biri	
biric	
biric	
biricbal	
biricbalis	
birich	
birichi	
birici	
biricia	
biricius	
birict	
birictbal	
birihbal	
birihtina	
birihut	
birissio	
birsil	
birz	
birzic	
birzil	
birzili	
birzilianus	
birzilis	
bisil	
bisfizl	
bitias	btwbᶜl
bitipten	
bizzo	
boccho	
boccom	
bocro	
bodin	
bodmilkaris	
bodsychun	
bogud	bgᵓt
bogude	
bogudis	
bogus	
bolmicar	
bomilcar	
bomilcarem	
bomilcari	
bomilcaris	
boncar	
boncarth	
bonchor	
boro[	
boroc	
boroc[	
borocia	
boroct	
boruc	
bosiharis	
bostar	bdᶜštrt
bostare	
bostarem	
bostari	
bostaris	
bot[	
botonis	
botor	
botriano	
botrianus	
botrus	
botto	
bret	
bricia	
brumasa	
bruten	
bruten	
bubal	
bubbal	
bucar	
bucari	
bucures	
bufuma	
bullus	
buraido	
burc	
burcai	
burcanta	
burcaton	
burco	
burct	
burgia	
burh	
buruc	
burucbal	
burucia	
burucosa	
burucus	
burugia	
burusosa	
butel	
butilla	
butur	
butura	
buturaia	
buturari	
buturaria	
buturarius	
buturata	
buture	
buturicus	
buturus	
buzuris	
byrycth	
cabde[	
cabdollionis	kbdᵓlm
cabdollom	
cabdollonia	
cabdolonis	
cabin	
cabiresis	
cacca	
caccaban	
cadaius	
cadami	
cadarai	
caggun	
cala	
calabius	
calam	
calamena	
calipus	
calmasa	
camalum	
camalus	
cambri	
cambrus	
cambulus	
canaca	
canacia	
canapi	
canapphari	
canarta	
canbo	
canissus	
cannafus	
cansidaba	
caphada	
capussa	
caramanic	
carcasan	
carilo	
carmonim	
cartelli	
cartilia	qrtᵓl
cartiliae	
casaz[	
castulae	
castulini	
castulus	bᶜl
cata stis	
catagi	
catamilla	
catapala	
catapalae	
catapaliani	
catapalianus	
catelma	
catiosa	qdš ; qdš
catubar	
catzo	
ceaditis	
cecud	
cenute	
ceras	
ceraus	
cerdubis	
cerinamam	
cernisai	
cestoris	grᶜštrt
cestronis	
cesus	
ceucrum	
chachonis	
chaddia	
chaddita	
chafaris	
chalia	
chalimace	
chanaebo	
chanaris	
charanus	
chelido	
chelidon	
cheriasta	
chinanipis	
